distance_km,bandwidth_MBps,server_load,cache_hit_ratio,cpu_utilization,ram_utilization,request_size_MB,storage_tier,latency_ms,egress_cost_per_gb
5911,984,0.7,0.7,0.87,0.55,2109,NVMe,109.46,0.0302
5103,680,0.1,0.51,0.94,0.83,1107,NVMe,133.65,0.0289
3084,573,0.74,0.69,0.41,0.43,4003,HDD,84.1,0.0377
343,143,0.38,0.45,0.83,0.93,2834,NVMe,70.35,0.0319
420,566,0.49,0.91,0.5,0.45,1974,NVMe,31.16,0.0273
2411,822,0.92,0.92,0.27,0.88,4018,SSD,51.92,0.0318
9178,322,0.16,0.58,0.75,0.64,1248,SSD,334.16,0.0319
7169,560,0.79,0.5,0.87,0.53,4138,NVMe,168.95,0.0309
8180,887,0.14,0.64,0.57,0.95,2784,NVMe,127.76,0.0292
4126,681,0.68,0.71,0.48,0.44,640,SSD,94.0,0.0297
9677,158,0.41,0.68,0.9,0.93,1619,SSD,662.91,0.0314
6345,323,0.58,0.44,0.71,0.86,1080,SSD,262.07,0.0352
6029,234,0.75,0.74,0.64,0.53,3538,HDD,291.85,0.037
7421,663,0.62,0.47,0.93,0.86,443,SSD,171.3,0.0318
8766,799,0.56,0.75,0.77,0.75,3445,NVMe,151.71,0.0289
2827,373,0.58,0.47,0.31,0.78,358,HDD,119.89,0.0371
8353,750,0.9,0.46,0.25,0.53,1987,SSD,145.62,0.034
4914,887,0.18,0.93,0.32,0.54,2581,NVMe,75.78,0.0254
5502,688,0.42,0.5,0.58,0.65,4218,SSD,122.99,0.0321
4685,397,0.92,0.95,0.65,0.7,1520,SSD,147.18,0.0289
223,734,0.84,0.72,0.65,0.76,3572,NVMe,40.15,0.0314
6816,316,0.58,0.84,0.68,0.88,3731,SSD,252.86,0.0278
8029,966,0.73,0.55,0.51,0.51,3527,NVMe,123.33,0.0298
528,99,0.1,0.77,0.7,0.76,3263,HDD,86.94,0.0348
7833,304,0.33,0.59,0.45,0.74,722,HDD,306.74,0.0349
4153,779,0.61,0.67,0.78,0.69,438,SSD,98.06,0.0303
5518,580,0.38,0.66,0.24,0.55,1293,NVMe,119.56,0.0267
5929,273,0.44,0.42,0.67,0.5,3967,NVMe,266.42,0.033
8577,347,0.72,0.95,0.22,0.77,1784,SSD,271.49,0.0278
8038,260,0.48,0.71,0.29,0.35,1282,NVMe,330.46,0.0276
9813,210,0.35,0.82,0.51,0.51,874,NVMe,497.58,0.0252
8377,853,0.54,0.71,0.59,0.8,1195,SSD,133.99,0.031
9972,286,0.46,0.49,0.92,0.51,4175,NVMe,402.11,0.0294
890,517,0.11,0.57,0.23,0.82,3012,SSD,56.57,0.0317
1097,856,0.45,0.43,0.7,0.9,2551,SSD,76.45,0.0341
7776,139,0.93,0.92,0.77,0.38,4013,NVMe,581.61,0.0279
6896,766,0.14,0.92,0.56,0.64,3373,HDD,114.86,0.0321
6497,50,0.28,0.55,0.85,0.87,1881,HDD,1347.74,0.0348
1514,937,0.51,0.5,0.49,0.9,1431,NVMe,59.61,0.0318
5492,944,0.22,0.47,0.43,0.42,2396,SSD,105.33,0.0318
7707,176,0.22,0.8,0.51,0.46,1784,SSD,469.07,0.0297
1137,806,0.28,0.53,0.88,0.51,2148,NVMe,65.13,0.0277
748,166,0.87,0.45,0.63,0.35,2572,NVMe,91.25,0.0315
4031,532,0.62,0.84,0.71,0.42,4133,SSD,105.74,0.0292
7002,351,0.1,0.81,0.3,0.61,3411,NVMe,227.08,0.0246
3440,345,0.66,0.75,0.49,0.54,1030,SSD,129.57,0.0291
7362,865,0.44,0.63,0.54,0.81,800,HDD,131.67,0.0362
3320,273,0.74,0.73,0.45,0.8,4092,HDD,154.76,0.0353
6980,492,0.93,0.83,0.9,0.37,1399,SSD,180.52,0.0326
8603,270,0.91,0.76,0.58,0.57,199,NVMe,359.36,0.029
5179,999,0.6,0.54,0.42,0.78,3950,NVMe,95.04,0.032
755,59,0.36,0.55,0.94,0.62,1285,SSD,175.78,0.0322
318,965,0.81,0.69,0.9,0.91,1294,SSD,59.01,0.0335
2222,396,0.71,0.64,0.62,0.89,3133,NVMe,95.15,0.0296
628,234,0.36,0.57,0.81,0.53,2493,SSD,73.81,0.0298
2770,878,0.83,0.81,0.7,0.87,3314,NVMe,62.71,0.0304
555,322,0.94,0.85,0.59,0.73,3993,NVMe,35.74,0.0305
403,643,0.94,0.54,0.25,0.8,2113,HDD,49.18,0.0397
7530,977,0.82,0.92,0.45,0.78,203,HDD,101.35,0.0338
3329,688,0.73,0.56,0.41,0.55,2704,NVMe,82.54,0.0318
2712,568,0.29,0.88,0.91,0.32,4540,NVMe,74.19,0.0241
7378,704,0.91,0.86,0.31,0.55,1080,SSD,132.07,0.0326
6433,841,0.23,0.89,0.82,0.82,4984,NVMe,119.84,0.0272
5488,504,0.29,0.63,0.71,0.36,2600,NVMe,145.85,0.0274
2052,912,0.6,0.94,0.32,0.77,4101,SSD,42.78,0.0301
2716,600,0.89,0.73,0.93,0.84,4250,SSD,84.38,0.032
3311,651,0.41,0.82,0.62,0.48,3442,NVMe,84.92,0.0282
6696,630,0.72,0.51,0.35,0.6,4258,HDD,145.45,0.0392
2267,630,0.21,0.61,0.32,0.89,719,HDD,78.66,0.034
2553,220,0.27,0.57,0.48,0.33,3874,HDD,149.55,0.0353
4340,733,0.18,0.88,0.63,0.59,2822,SSD,87.76,0.0273
2460,582,0.76,0.64,0.55,0.66,2866,HDD,80.56,0.0365
7468,478,0.35,0.4,0.86,0.31,4189,SSD,208.28,0.0337
320,162,0.14,0.95,0.55,0.76,176,NVMe,55.7,0.0246
9267,762,0.6,0.75,0.56,0.89,4350,SSD,163.43,0.0318
1920,661,0.19,0.89,0.39,0.88,1425,NVMe,51.32,0.0255
6895,256,0.75,0.54,0.63,0.93,1030,SSD,317.63,0.0334
2874,262,0.7,0.89,0.27,0.6,3840,NVMe,136.02,0.0291
6606,848,0.62,0.63,0.59,0.46,2379,NVMe,111.1,0.0281
2631,933,0.43,0.78,0.52,0.52,1304,SSD,56.32,0.0296
1137,133,0.82,0.83,0.59,0.89,1061,SSD,117.94,0.0319
4767,831,0.36,0.46,0.52,0.72,4596,SSD,107.12,0.0303
9969,839,0.2,0.49,0.8,0.83,3024,HDD,165.25,0.0362
2075,379,0.74,0.69,0.83,0.35,3432,HDD,94.75,0.0371
7558,627,0.75,0.94,0.74,0.33,1388,HDD,140.33,0.0352
6232,1000,0.28,0.51,0.39,0.39,2331,HDD,96.03,0.0356
1189,475,0.78,0.68,0.23,0.42,2130,HDD,45.57,0.0352
1354,254,0.13,0.51,0.36,0.51,2736,HDD,90.33,0.0356
1729,310,0.87,0.68,0.77,0.64,3897,SSD,93.56,0.0326
2156,271,0.47,0.93,0.42,0.79,3431,NVMe,109.02,0.025
8824,677,0.48,0.68,0.35,0.94,1523,SSD,170.61,0.03
4406,921,0.39,0.76,0.28,0.32,3613,NVMe,66.98,0.0256
9559,71,0.47,0.64,0.48,0.4,3779,NVMe,1382.14,0.0276
9423,688,0.11,0.66,0.57,0.59,3357,HDD,161.4,0.0336
5602,926,0.75,0.44,0.63,0.86,3740,NVMe,113.98,0.0321
6530,357,0.26,0.68,0.61,0.33,2681,HDD,219.48,0.034
7239,891,0.88,0.71,0.8,0.46,4419,HDD,113.29,0.0388
8593,461,0.95,0.44,0.35,0.62,1605,HDD,231.65,0.042
9505,228,0.59,0.88,0.89,0.51,4788,SSD,444.27,0.0292
4022,842,0.57,0.74,0.61,0.32,2232,NVMe,68.0,0.0287
2501,354,0.42,0.6,0.28,0.36,4583,SSD,101.62,0.0291
5094,347,0.48,0.78,0.55,0.94,3035,HDD,183.07,0.0343
1718,873,0.26,0.42,0.89,0.95,3267,SSD,72.89,0.0303
9011,641,0.62,0.79,0.24,0.63,4068,SSD,172.68,0.0286
5687,128,0.79,0.45,0.6,0.89,2276,SSD,496.02,0.0354
3471,646,0.59,0.8,0.48,0.51,2193,NVMe,79.15,0.026
5542,958,0.75,0.53,0.55,0.64,465,SSD,103.85,0.0351
1022,372,0.32,0.72,0.71,0.35,4190,HDD,61.45,0.0331
4604,295,0.53,0.89,0.74,0.91,4704,NVMe,184.14,0.0257
4318,225,0.22,0.57,0.22,0.48,4143,NVMe,230.61,0.0278
1894,780,0.48,0.8,0.24,0.9,441,HDD,57.81,0.0331
6359,301,0.59,0.83,0.36,0.36,1395,SSD,232.36,0.0277
6053,677,0.82,0.9,0.49,0.87,1337,SSD,119.11,0.0312
4602,253,0.4,0.86,0.6,0.5,3988,NVMe,215.88,0.0268
1722,391,0.12,0.66,0.64,0.76,266,NVMe,90.46,0.0273
804,330,0.3,0.88,0.2,0.49,4066,SSD,51.62,0.0271
2073,858,0.62,0.82,0.61,0.71,4472,HDD,54.69,0.0355
6723,974,0.78,0.66,0.9,0.31,2283,SSD,111.25,0.0322
9157,64,0.94,0.69,0.59,0.44,191,SSD,1463.19,0.0317
3661,673,0.35,0.65,0.66,0.72,2459,NVMe,93.91,0.0301
5977,986,0.63,0.6,0.88,0.63,4967,SSD,107.3,0.0321
1779,772,0.6,0.41,0.51,0.55,3435,HDD,85.1,0.0405
5743,697,0.49,0.6,0.36,0.94,2453,HDD,126.85,0.0384
1161,840,0.6,0.85,0.55,0.91,4086,HDD,43.3,0.0335
3349,543,0.52,0.84,0.43,0.93,4105,NVMe,107.55,0.0277
2648,261,0.45,0.83,0.39,0.77,2954,NVMe,127.76,0.0262
835,500,0.23,0.46,0.53,0.81,383,NVMe,62.66,0.03
2121,378,0.44,0.75,0.72,0.76,3856,SSD,94.02,0.0282
3245,486,0.38,0.88,0.42,0.49,4874,HDD,87.13,0.034
1709,560,0.85,0.52,0.57,0.38,1764,HDD,72.15,0.038
282,891,0.2,0.53,0.85,0.34,2448,NVMe,57.45,0.03
264,858,0.25,0.48,0.91,0.58,353,NVMe,47.72,0.0289
8781,838,0.15,0.42,0.22,0.6,2045,SSD,153.47,0.0313
7337,638,0.68,0.7,0.25,0.47,978,HDD,136.16,0.0348
6976,921,0.78,0.69,0.25,0.61,3291,NVMe,111.79,0.0298
3553,713,0.68,0.43,0.85,0.37,1114,SSD,101.72,0.0337
2167,270,0.27,0.89,0.57,0.93,4015,NVMe,108.54,0.0271
3455,549,0.36,0.72,0.42,0.34,784,HDD,91.91,0.0359
7446,902,0.24,0.44,0.48,0.74,4236,HDD,133.27,0.0374
5536,267,0.45,0.78,0.3,0.76,4853,NVMe,235.24,0.0258
8376,657,0.19,0.53,0.58,0.73,1377,SSD,177.43,0.0299
4488,644,0.37,0.43,0.71,0.44,3639,SSD,113.73,0.0306
5715,985,0.7,0.86,0.62,0.67,4903,SSD,80.4,0.0297
7078,899,0.42,0.79,0.42,0.43,1972,SSD,99.78,0.0281
2465,644,0.46,0.7,0.71,0.83,2854,NVMe,77.66,0.0292
2984,872,0.45,0.94,0.93,0.46,4707,HDD,60.68,0.0333
1779,88,0.2,0.52,0.71,0.52,755,NVMe,250.68,0.0299
5901,418,0.36,0.78,0.47,0.41,1780,HDD,173.73,0.0344
8590,940,0.95,0.52,0.7,0.64,3502,SSD,143.54,0.0355
3800,761,0.33,0.41,0.68,0.68,472,SSD,108.13,0.0306
6840,213,0.46,0.75,0.6,0.37,2523,NVMe,347.81,0.0259
5159,922,0.41,0.81,0.5,0.71,652,SSD,84.13,0.0293
7761,83,0.4,0.94,0.93,0.68,560,SSD,971.52,0.0266
5106,932,0.82,0.71,0.62,0.94,1254,NVMe,93.33,0.0284
1739,959,0.51,0.64,0.37,0.8,3601,HDD,50.02,0.0354
647,366,0.5,0.53,0.24,0.93,4487,NVMe,51.55,0.0301
6233,950,0.87,0.55,0.55,0.61,3371,NVMe,99.6,0.0329
8653,65,0.7,0.86,0.92,0.78,4144,SSD,1374.1,0.0295
7719,583,0.3,0.88,0.93,0.53,995,SSD,162.56,0.026
5948,625,0.87,0.56,0.64,0.65,4017,HDD,127.79,0.0401
5354,162,0.59,0.47,0.95,0.42,1151,SSD,385.62,0.0329
7626,704,0.94,0.55,0.5,0.76,2289,HDD,150.22,0.039
8955,130,0.5,0.8,0.68,0.92,3111,SSD,727.88,0.0296
8577,99,0.11,0.65,0.88,0.91,2269,SSD,918.01,0.029
9769,581,0.42,0.94,0.22,0.48,3886,HDD,180.63,0.0332
7164,64,0.45,0.82,0.87,0.9,4449,NVMe,1158.85,0.0262
1005,570,0.59,0.72,0.28,0.52,1567,HDD,53.31,0.0359
4373,145,0.19,0.75,0.81,0.36,1960,SSD,342.11,0.0303
3112,305,0.54,0.76,0.58,0.92,1805,NVMe,134.24,0.0287
9021,446,0.69,0.88,0.27,0.65,3733,SSD,217.44,0.0278
7742,796,0.12,0.47,0.92,0.3,4990,SSD,150.53,0.0292
3741,470,0.28,0.56,0.61,0.48,1752,SSD,130.97,0.0318
7961,891,0.27,0.58,0.35,0.31,3888,NVMe,132.91,0.0304
9351,383,0.13,0.86,0.65,0.45,261,HDD,271.51,0.0322
7281,610,0.77,0.47,0.29,0.39,2348,SSD,162.67,0.0348
7595,915,0.56,0.74,0.48,0.54,2503,HDD,113.37,0.0361
567,488,0.79,0.55,0.36,0.57,4308,HDD,49.22,0.0374
1621,452,0.16,0.44,0.74,0.36,1342,SSD,90.49,0.0296
8803,511,0.55,0.43,0.63,0.95,2378,SSD,232.44,0.0317
3603,242,0.7,0.92,0.27,0.44,2776,NVMe,163.59,0.027
8560,537,0.49,0.71,0.25,0.56,1924,NVMe,188.7,0.0288
2921,818,0.3,0.47,0.81,0.51,3021,HDD,82.42,0.0361
6837,554,0.11,0.89,0.28,0.88,3781,SSD,153.07,0.0259
3175,878,0.87,0.63,0.89,0.4,717,SSD,70.26,0.0346
7678,517,0.38,0.43,0.95,0.84,3942,SSD,209.03,0.0343
9637,184,0.58,0.42,0.36,0.82,3084,NVMe,567.81,0.0307
6162,876,0.41,0.8,0.31,0.35,727,NVMe,92.54,0.0278
9719,958,0.86,0.69,0.79,0.39,3308,HDD,140.92,0.0393
3572,554,0.43,0.89,0.5,0.5,4554,HDD,89.44,0.0317
308,74,0.22,0.48,0.81,0.44,4229,HDD,89.23,0.0356
4793,712,0.16,0.78,0.8,0.34,4403,NVMe,94.81,0.0279
8155,221,0.86,0.78,0.43,0.4,4273,HDD,394.68,0.036
2486,157,0.68,0.43,0.7,0.72,4126,SSD,217.92,0.0355
4258,483,0.6,0.44,0.25,0.54,2460,NVMe,130.64,0.0304
6565,797,0.83,0.61,0.22,0.35,4939,HDD,108.21,0.0392
6759,809,0.38,0.59,0.69,0.31,4509,HDD,124.2,0.0378
6922,298,0.5,0.56,0.92,0.48,2933,SSD,279.19,0.0325
3622,161,0.4,0.71,0.77,0.6,585,SSD,263.25,0.0313
4721,645,0.78,0.42,0.75,0.64,1186,NVMe,132.29,0.0312
6047,946,0.33,0.67,0.27,0.65,1213,NVMe,88.97,0.029
666,269,0.59,0.67,0.7,0.72,2686,SSD,59.23,0.0304
8044,61,0.24,0.72,0.3,0.92,2624,HDD,1346.85,0.0357
4996,660,0.77,0.47,0.91,0.72,3631,NVMe,146.87,0.0335
2215,934,0.94,0.49,0.29,0.53,907,SSD,63.03,0.0343
6744,343,0.77,0.64,0.77,0.69,573,SSD,238.9,0.033
1357,255,0.59,0.93,0.32,0.74,436,NVMe,82.48,0.028
6810,442,0.54,0.47,0.47,0.73,3646,SSD,202.9,0.0321
2809,846,0.68,0.87,0.24,0.47,2676,HDD,40.41,0.0354
2189,842,0.87,0.73,0.77,0.33,1565,HDD,59.58,0.0362
3661,189,0.91,0.47,0.84,0.61,1759,HDD,246.13,0.0398
1506,187,0.47,0.81,0.46,0.83,4248,HDD,122.21,0.035
1927,842,0.36,0.59,0.59,0.77,3317,SSD,64.41,0.0302
9985,712,0.72,0.41,0.24,0.84,3107,HDD,188.76,0.0402
2347,339,0.46,0.41,0.65,0.61,4653,NVMe,117.48,0.0293
3077,911,0.68,0.61,0.35,0.43,3672,HDD,64.41,0.0359
4687,781,0.76,0.55,0.69,0.72,3333,NVMe,111.1,0.0324
3856,585,0.73,0.83,0.88,0.45,1814,HDD,97.78,0.036
701,666,0.19,0.91,0.37,0.55,4579,NVMe,27.88,0.0235
2173,106,0.48,0.48,0.36,0.41,2248,HDD,250.01,0.0377
1381,276,0.58,0.55,0.49,0.69,4940,SSD,97.23,0.0333
6379,951,0.37,0.81,0.67,0.81,3719,HDD,100.86,0.0348
4804,480,0.24,0.4,0.77,0.44,1234,SSD,149.05,0.0309
4745,877,0.61,0.54,0.6,0.72,1251,HDD,107.91,0.0386
7050,340,0.17,0.7,0.52,0.63,2474,SSD,239.31,0.0298
8644,338,0.43,0.55,0.6,0.38,810,NVMe,293.55,0.0309
4514,454,0.14,0.61,0.29,0.77,2073,HDD,140.6,0.0357
7448,947,0.7,0.82,0.45,0.48,4550,SSD,100.86,0.0304
9426,440,0.5,0.45,0.45,0.69,2775,SSD,257.28,0.0329
394,194,0.83,0.53,0.68,0.77,1098,SSD,67.08,0.0353
686,495,0.9,0.47,0.71,0.56,2290,NVMe,60.43,0.0328
2409,680,0.63,0.79,0.76,0.89,2523,NVMe,72.2,0.0267
7169,522,0.86,0.83,0.5,0.83,1576,NVMe,156.54,0.0277
2425,162,0.41,0.9,0.32,0.46,1157,NVMe,166.32,0.0261
8638,465,0.48,0.48,0.5,0.45,3119,NVMe,221.65,0.0311
8277,92,0.8,0.64,0.23,0.64,1284,HDD,927.4,0.0388
9679,867,0.35,0.92,0.65,0.73,2684,NVMe,142.43,0.0262
458,377,0.39,0.76,0.52,0.56,1242,HDD,40.29,0.0327
7128,703,0.52,0.74,0.38,0.72,1047,HDD,131.51,0.0348
3061,300,0.78,0.68,0.9,0.82,719,NVMe,147.41,0.0285
9610,762,0.45,0.44,0.76,0.64,2216,NVMe,181.32,0.0328
5553,433,0.59,0.55,0.76,0.7,3590,HDD,183.44,0.0387
7222,995,0.44,0.6,0.51,0.49,2710,SSD,104.5,0.0316
5246,492,0.3,0.51,0.83,0.5,1096,NVMe,147.02,0.0282
9791,985,0.31,0.7,0.67,0.43,4234,SSD,139.89,0.0287
7765,417,0.59,0.51,0.3,0.8,1491,NVMe,227.43,0.0314
7694,165,0.6,0.91,0.74,0.67,2667,HDD,490.68,0.0325
885,90,0.7,0.95,0.93,0.51,3132,SSD,135.96,0.0305
8199,461,0.73,0.62,0.75,0.44,4847,HDD,230.92,0.0384
8310,204,0.4,0.49,0.73,0.59,651,NVMe,453.04,0.0291
6197,145,0.67,0.62,0.32,0.88,4067,NVMe,461.43,0.0305
2463,672,0.1,0.54,0.64,0.76,4305,SSD,83.97,0.0309
2612,164,0.43,0.75,0.91,0.73,2597,HDD,195.86,0.0334
8740,584,0.9,0.86,0.8,0.31,620,SSD,183.69,0.0318
9604,596,0.7,0.55,0.79,0.8,2477,NVMe,209.4,0.0316
3247,434,0.62,0.69,0.55,0.42,794,NVMe,105.39,0.029
7403,325,0.61,0.58,0.54,0.46,1258,NVMe,266.38,0.031
9809,98,0.72,0.55,0.87,0.93,3469,HDD,1060.07,0.0365
9907,147,0.36,0.86,0.23,0.34,2066,NVMe,697.35,0.0272
2436,490,0.78,0.81,0.46,0.72,3540,NVMe,77.36,0.0298
8293,654,0.44,0.42,0.8,0.82,351,NVMe,183.72,0.0327
6407,997,0.49,0.67,0.71,0.84,4966,SSD,107.29,0.0327
4924,959,0.62,0.43,0.29,0.49,3392,SSD,91.58,0.0347
8691,697,0.79,0.65,0.67,0.5,1584,NVMe,166.8,0.0306
4510,60,0.93,0.86,0.33,0.75,4126,HDD,776.13,0.037
9745,119,0.7,0.64,0.69,0.43,4438,SSD,863.04,0.0333
3327,226,0.66,0.87,0.61,0.82,1061,SSD,178.55,0.0295
6803,191,0.18,0.64,0.9,0.88,3653,NVMe,402.52,0.0271
2242,287,0.92,0.74,0.54,0.54,121,SSD,97.03,0.0325
134,515,0.55,0.64,0.88,0.62,2562,NVMe,45.47,0.0282
3445,734,0.48,0.59,0.25,0.81,820,NVMe,77.92,0.0289
3110,909,0.23,0.9,0.59,0.66,289,HDD,70.57,0.0312
1676,436,0.49,0.45,0.76,0.81,3899,SSD,96.13,0.0323
2044,787,0.11,0.95,0.52,0.33,4989,SSD,41.84,0.0265
3548,933,0.81,0.43,0.24,0.54,3307,NVMe,86.42,0.0338
8028,907,0.45,0.94,0.42,0.66,1965,SSD,109.16,0.0271
5363,233,0.28,0.68,0.75,0.52,2823,NVMe,274.04,0.0274
5940,598,0.45,0.9,0.56,0.61,1010,SSD,122.48,0.0291
2573,598,0.88,0.49,0.44,0.35,4122,NVMe,83.64,0.0345
3300,871,0.67,0.82,0.59,0.56,3656,HDD,65.14,0.0335
1477,877,0.44,0.54,0.56,0.53,3027,NVMe,56.0,0.0298
6430,806,0.67,0.83,0.37,0.91,829,SSD,111.2,0.0319
1019,869,0.57,0.65,0.38,0.9,3140,SSD,54.78,0.03
5532,559,0.39,0.58,0.42,0.47,2122,NVMe,137.86,0.0292
2726,129,0.24,0.71,0.35,0.39,988,SSD,236.18,0.0305
7983,726,0.21,0.88,0.75,0.89,4792,HDD,136.57,0.0328
7865,873,0.14,0.85,0.5,0.95,2377,HDD,117.16,0.0331
8938,630,0.43,0.65,0.34,0.89,2224,SSD,182.48,0.0292
3170,843,0.71,0.84,0.47,0.69,765,HDD,63.58,0.0346
1450,488,0.45,0.46,0.4,0.79,2900,SSD,76.79,0.0317
5611,850,0.72,0.54,0.6,0.89,3675,HDD,120.27,0.0373
6699,360,0.82,0.52,0.72,0.78,786,NVMe,237.73,0.0302
8573,740,0.34,0.6,0.85,0.61,1522,HDD,160.09,0.035
6751,903,0.11,0.92,0.45,0.92,262,NVMe,105.66,0.0246
8170,738,0.67,0.46,0.82,0.48,357,NVMe,167.42,0.0312
9615,666,0.85,0.73,0.57,0.33,839,SSD,168.83,0.0302
3077,744,0.88,0.92,0.46,0.49,2471,NVMe,65.25,0.0269
3009,669,0.65,0.71,0.89,0.9,4241,NVMe,82.86,0.0285
4515,237,0.65,0.74,0.78,0.84,4136,HDD,237.79,0.0377
1798,863,0.82,0.54,0.33,0.86,2817,HDD,60.59,0.0393
4800,257,0.15,0.72,0.89,0.48,1756,HDD,229.73,0.0324
8094,923,0.19,0.84,0.65,0.54,3630,HDD,121.38,0.0328
7679,664,0.75,0.85,0.58,0.67,3956,SSD,138.04,0.029
8397,438,0.22,0.73,0.59,0.66,2761,NVMe,217.29,0.0277
9827,615,0.27,0.93,0.5,0.42,3837,HDD,177.49,0.034
4762,331,0.27,0.52,0.55,0.52,4764,NVMe,179.57,0.0284
4803,84,0.5,0.93,0.83,0.82,1145,SSD,604.0,0.0262
4574,511,0.24,0.65,0.91,0.81,4292,HDD,138.87,0.0363
7562,334,0.17,0.79,0.74,0.43,3983,SSD,260.72,0.026
8535,350,0.78,0.52,0.76,0.84,1423,NVMe,290.75,0.0334
7870,416,0.46,0.59,0.79,0.91,4472,HDD,232.86,0.0362
4633,582,0.16,0.64,0.79,0.86,4408,SSD,136.31,0.0304
8086,413,0.74,0.67,0.86,0.55,471,SSD,237.61,0.0333
7758,380,0.38,0.82,0.46,0.36,2244,NVMe,221.9,0.0284
7979,667,0.26,0.52,0.34,0.88,4841,HDD,154.19,0.0375
8955,284,0.37,0.47,0.7,0.7,304,NVMe,366.37,0.029
450,52,0.87,0.88,0.37,0.49,1485,SSD,103.07,0.0297
8887,226,0.24,0.78,0.23,0.93,3460,HDD,427.94,0.035
1746,643,0.46,0.63,0.28,0.92,3050,NVMe,61.49,0.0273
6987,459,0.51,0.53,0.81,0.84,467,SSD,210.24,0.0323
5702,229,0.76,0.67,0.44,0.79,2507,HDD,291.17,0.0383
6931,831,0.7,0.44,0.68,0.88,1460,HDD,134.45,0.0372
2349,238,0.34,0.46,0.74,0.56,1765,HDD,152.95,0.0356
4503,503,0.22,0.54,0.73,0.67,1466,NVMe,137.36,0.0301
3947,268,0.83,0.46,0.8,0.94,4722,SSD,209.52,0.0329
302,523,0.68,0.67,0.41,0.49,2676,NVMe,32.09,0.0316
1611,941,0.27,0.41,0.25,0.38,2362,NVMe,59.65,0.0286
4516,966,0.35,0.68,0.43,0.62,4283,NVMe,79.39,0.0277
4510,936,0.69,0.63,0.94,0.52,2095,SSD,101.91,0.0315
6355,372,0.82,0.48,0.69,0.46,2247,SSD,215.76,0.0348
7517,796,0.23,0.65,0.59,0.36,615,HDD,135.04,0.0357
578,681,0.92,0.6,0.59,0.36,1152,HDD,51.47,0.04
8833,400,0.43,0.42,0.79,0.66,1233,HDD,274.04,0.0386
8358,264,0.23,0.61,0.33,0.31,294,HDD,351.19,0.0367
7711,664,0.43,0.48,0.42,0.86,2716,NVMe,165.54,0.0312
437,437,0.78,0.47,0.37,0.46,1263,HDD,40.3,0.0396
7377,504,0.16,0.4,0.5,0.6,612,HDD,192.99,0.038
5442,668,0.37,0.54,0.39,0.58,4430,HDD,114.16,0.0372
